Review No,Title
A102,Influenza vaccines for preventing acute otitis media in infants and children
A171,Interventions for preventing influenza: an overview of Cochrane systematic reviews
A149,Interventions for treating community-acquired pneumonia: an overview of Cochrane systematic reviews
A167,Interventions for treating hospital-acquired pneumonia: an overview of Cochrane systematic reviews
A174,Interventions for treating influenza: an overview of Cochrane systematic reviews
A107,Interventions to increase influenza vaccination rates of those 60 years and older in the community
A166,Intranasal ipratropium bromide for the common cold
A098,Intranasal steroids for acute sinusitis
A189,Leukotriene inhibitors for bronchiolitis in infants and young children
A153,Macrolides for diffuse panbronchiolitis
A041,Monoclonal antibody for reducing the risk of respiratory syncytial virus infection in children
A045,Nasal decongestants for the common cold
A133,Nebulised deoxyribonuclease for viral bronchiolitis in children younger than 24 months
A129,Nebulised hypertonic saline solution for acute bronchiolitis in infants
A117,Nebulized epinephrine for croup in children
A046,Neuraminidase inhibitors for preventing and treating influenza in children (published trials only)
A159,Neuraminidase inhibitors for preventing and treating influenza in healthy adults and children
A048,Non-antibiotic treatments for sore throat
A127,Non-steroidal anti-inflammatory drugs for the common cold
A072,Once or twice daily versus three times daily amoxicillin with or without clavulanate for the treatment of acute otitis media
A044,Oral antibiotics versus parenteral antibiotics for severe pneumonia in children
A080,Oral antihistamine-decongestant-analgesic combinations for the common cold
A173,Osmotic therapies added to antibiotics for acute bacterial meningitis
A049,Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings
A120,Over-the-counter (OTC) medications to reduce cough as an adjunct to antibiotics for acute pneumonia in children and adults
A070,Oxygen therapy for lower respiratory tract infections in children between 3 months and 15 years of age
A068,Oxygen therapy for pneumonia in adults
A126,Pelargonium sidoides extract for treating acute respiratory tract infections
A122,Physical interventions to interrupt or reduce the spread of respiratory viruses
A051,Pneumococcal conjugate vaccines for preventing otitis media
A050,Pneumococcal conjugate vaccines for preventing vaccine-type invasive pneumococcal disease and X-ray defined pneumonia in children less than two years of age
A052,Polysaccharide vaccines for preventing serogroup A meningococcal meningitis
A053,Positioning for acute respiratory distress in hospitalised infants and children
A184,Post-exposure passive immunisation for preventing measles
A191,Post-exposure passive immunisation for preventing rubella and congenital rubella syndrome
A088,Pre-admission antibiotics for suspected cases of meningococcal disease
A121,Probiotics for preventing acute upper respiratory tract infections
A168,Probiotics for preventing ventilator-associated pneumonia
A144,Procalcitonin to initiate or discontinue antibiotics in acute respiratory tract infections
A136,Quantitative versus qualitative cultures of respiratory secretions for clinical outcomes in patients with ventilator-associated pneumonia
A186,Rapid antigen detection test for group A streptococcus in children with pharyngitis
A131,Rapid viral diagnosis for acute febrile respiratory illness in children in the Emergency Department
A151,"Remediating buildings damaged by dampness and mould for preventing or reducing respiratory tract symptoms, infections and asthma"
A143,Routine vitamin A supplementation for the prevention of blindness due to measles infection in children
A134,Saline nasal irrigation for acute upper respiratory tract infections
A128,Semi-recumbent position versus supine position for the prevention of ventilator-associated pneumonia in adults requiring mechanical ventilation
A195,Shared decision making for acute respiratory infections in primary care
A055,Short-course antibiotics for acute otitis media
A110,Short-course versus long-course antibiotic therapy for non-severe community-acquired pneumonia in children aged 2 months to 59 months
A156,Short-course versus long-course intravenous therapy of the same antibiotic for severe community-acquired pneumonia in children aged two months to 59 months
A163,Short-course versus long-course therapy of the same antibiotic for community-acquired pneumonia in adolescent and adult outpatients
A148,Short-course versus prolonged-course antibiotic therapy for hospital-acquired pneumonia in critically ill adults
A087,Short-term late-generation antibiotics versus longer term penicillin for acute streptococcal pharyngitis in children
A176,Statins for influenza and pneumonia
A115,Steam inhalation or humidified oxygen for acute bronchiolitis in children up to three years of age
A056,Steroids for symptom control in infectious mononucleosis
A077,Surfactant therapy for bronchiolitis in critically ill infants
A057,Surgical versus non-surgical management for pleural empyema
A058,Symptomatic treatment of the cough in whooping cough
A161,Systemic corticosteroids for acute sinusitis
A059,Third generation cephalosporins versus conventional antibiotics for treating acute bacterial meningitis
A112,Topical analgesia for acute otitis media
A190,Vaccination in pregnancy to prevent pertussis in early infancy
A081,"Vaccines for measles, mumps and rubella in children"
A062,Vaccines for post-exposure prophylaxis against varicella (chickenpox) in children and adults
A172,Vaccines for preventing herpes zoster in older adults
A060,Vaccines for preventing influenza in healthy adults
A096,Vaccines for preventing influenza in healthy children
A097,Vaccines for preventing influenza in the elderly
A061,Vaccines for preventing pneumococcal infection in adults
A063,Vaccines for the common cold
A064,Vitamin A for non-measles pneumonia in children
A116,Vitamin A for preventing acute lower respiratory tract infections in children up to seven years of age
A065,Vitamin A for treating measles in children
A105,Vitamin C for preventing and treating pneumonia
A066,Vitamin C for preventing and treating the common cold
A118,Xylitol for preventing acute otitis media in children up to 12 years of age
A067,Zinc for the common cold
A139,Zinc supplementation as an adjunct to antibiotics in the treatment of pneumonia in children 2 to 59 months of age
A109,Zinc supplementation for the prevention of pneumonia in children aged 2 months to 59 months
A137,Zinc supplements for preventing otitis media
